21;32;3
30;35;1
32;35;1
2;6;32
2;34;1
5;6;28
5;21;20
5;34;1
6;15;28
6;20;20
6;21;29
6;34;1
20;21;23
20;34;1
2;16;39
2;29;10
3;16;31
3;21;19
16;21;32
16;26;14
21;29;10
26;29;6
10;16;27
10;17;18
10;19;33
10;30;5
16;17;23
16;19;35
19;26;15
19;30;14
19;33;1
26;33;1
5;17;25
5;22;12
5;31;5
17;35;1
19;28;14
22;28;4
28;35;1
7;17;17
7;19;34
17;18;27
18;28;7
25;28;12
1;3;37
1;5;24
1;19;36
3;9;24
3;35;1
4;9;29
4;35;1
5;9;38
9;19;24
9;35;1
3;25;14
17;24;18
24;31;5
24;34;1
28;34;1
8;19;20
19;20;18
19;23;36
19;34;1
20;31;4
9;17;23
9;22;17
9;23;17
9;26;11
9;30;3
22;23;14
9;14;30
9;27;11
13;15;30
5;12;27
5;30;5
12;21;24
18;30;7
1;2;35
1;30;2
20;30;6
26;31;1
6;11;26
6;24;22
6;30;6
6;32;5
6;33;1
24;30;5
33;34;1
5;7;28
5;10;37
10;18;26
10;21;18
10;23;21
6;14;36
8;24;18
8;35;1
14;24;21
20;35;1
21;24;19
24;35;1
13;16;33
13;18;24
13;35;1
16;18;26
16;35;1
6;10;40
8;10;27
8;18;21
10;31;4
2;9;37
6;9;37
6;17;27
9;10;21
9;31;4
10;15;28
9;12;26
9;34;1
12;15;27
16;34;1
13;22;15
13;34;1
15;22;12
15;32;3
20;22;12
22;34;1
11;18;27
11;31;6
18;20;22
15;24;22
5;32;2
23;28;6
3;6;24
4;6;28
33;35;1
6;13;35
10;35;1
12;13;24
13;21;26
13;33;2
21;33;2
10;25;16
10;28;5
13;19;30
13;28;8
19;32;3
1;14;30
11;19;29
13;31;5
14;16;34
16;31;5
18;27;18
5;25;16
12;26;9
5;16;24
11;22;23
5;13;28
15;29;6
6;26;9
10;24;20
10;29;7
29;35;1
7;14;34
12;28;9
12;20;18
12;27;10
16;27;15
6;29;6
6;19;32
6;28;8
2;11;29
2;25;16
11;21;31
28;29;4
6;23;17
6;27;18
23;24;20
23;27;12
23;35;1
24;27;18
8;9;27
8;16;27
1;21;18
1;32;3
9;21;29
7;9;28
6;16;30
34;35;1
1;24;13
16;24;21
9;29;2
12;17;23
10;11;29
3;11;26
2;12;30
12;24;18
19;27;17
1;10;24
12;19;31
16;23;9
1;27;10
9;18;19
